epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1,folder
368.0,1234.21,0.0416604,0.0206354,0.211218,1.0,0.815154,1.0,0.86075,0.0507343,0.0147197,0.214818,1e-05,1e-06,detr_50_2d9_1d2
364.0,1275.52,0.044696,0.0280964,0.212207,1.0,0.81333,1.0,0.864125,0.0508938,0.0153582,0.211907,1e-05,1e-06,detr_50_2d2_1d8
393.0,1395.02,0.0425309,0.00711341,0.189692,1.0,0.810799,1.0,0.843125,0.048469,0.00383815,0.195887,1e-05,1e-06,detr_50_2d1_1d4
310.0,1037.77,0.0413879,0.0202182,0.195032,0.992094,0.80841,0.992094,0.863625,0.0505515,0.0118654,0.206611,1e-05,1e-06,detr_50_2d10_1d3
250.0,837.579,0.0473096,0.0294676,0.223543,0.9967,0.808093,0.9967,0.87325,0.0514273,0.0169763,0.2049,1e-05,1e-06,detr_50_2d10_1d000
400.0,1342.19,0.0549593,0.0210725,0.223791,1.0,0.806831,1.0,0.84625,0.0514781,0.00635345,0.208399,1e-06,1e-07,detr_50_2d6_1d9
389.0,1308.13,0.0423789,0.0174806,0.192657,1.0,0.805727,1.0,0.87075,0.0466295,0.0105651,0.201657,1e-05,1e-06,detr_50_2d7_1d2
323.0,1075.88,0.0381995,0.0127276,0.173775,0.995453,0.803769,0.995453,0.84,0.0506292,0.00769973,0.203918,1e-05,1e-06,detr_50_2d10_1d10
392.0,1363.57,0.0429736,0.0110823,0.182977,1.0,0.803408,1.0,0.843625,0.0496665,0.00755204,0.198823,1e-05,1e-06,detr_50_2d3_1d4
399.0,1411.89,0.0402375,0.0149693,0.189053,1.0,0.802983,1.0,0.838,0.0520576,0.00551778,0.212112,1e-05,1e-06,detr_50_2d2_1d3
394.0,1384.92,0.0457086,0.0314464,0.193864,1.0,0.801526,1.0,0.886875,0.0468387,0.0183302,0.201698,1e-05,1e-06,detr_50_2d8_1d3
345.0,1197.11,0.0406641,0.0157214,0.175446,1.0,0.799261,1.0,0.84,0.0486287,0.00963013,0.203576,1e-05,1e-06,detr_50_2d2_1d9
363.0,1220.07,0.0403866,0.0257562,0.182702,1.0,0.79889,1.0,0.868125,0.0472313,0.0128088,0.207732,1e-05,1e-06,detr_50_2d8_1d6
392.0,1314.2,0.0432069,0.0157543,0.186787,0.998533,0.798684,0.998533,0.84175,0.0510261,0.00990352,0.211591,1e-05,1e-06,detr_50_2d10_1d2
308.0,1092.86,0.0392027,0.0180905,0.176187,0.999238,0.792419,0.999238,0.8525,0.0521831,0.0162117,0.20887,1e-05,1e-06,detr_50_2d000_1d7
367.0,1232.98,0.0413766,0.0166754,0.181046,0.997741,0.792345,0.997741,0.83375,0.0502984,0.00661099,0.20255,1e-05,1e-06,detr_50_2d7_1d7
388.0,1301.21,0.0389447,0.0127038,0.200581,1.0,0.791889,1.0,0.845375,0.0509926,0.00670986,0.211844,1e-05,1e-06,detr_50_2d10_1d5
393.0,1318.99,0.0401921,0.0287423,0.170455,0.985334,0.790636,0.985334,0.855625,0.0499012,0.0172786,0.214464,1e-05,1e-06,detr_50_2d8_1d7
400.0,1347.95,0.0437236,0.0430512,0.18246,0.974191,0.790547,0.974191,0.87725,0.0478665,0.0172654,0.20572,1e-06,1e-07,detr_50_2d7_1d1
325.0,1151.49,0.0434931,0.0176598,0.184681,1.0,0.787635,1.0,0.8295,0.0555196,0.0102937,0.234161,1e-05,1e-06,detr_50_2d000_1d8
388.0,1298.75,0.03585,0.0212957,0.171311,1.0,0.787233,1.0,0.844,0.0492089,0.012468,0.207712,1e-05,1e-06,detr_50_2d9_1d9
356.0,1186.2,0.0391041,0.0175227,0.180966,0.979857,0.786601,0.979857,0.863875,0.0474945,0.0107767,0.19788,1e-05,1e-06,detr_50_2d10_1d9
366.0,1299.37,0.0468837,0.0175284,0.22341,0.982586,0.783434,0.982586,0.843375,0.0523938,0.0106088,0.220212,1e-05,1e-06,detr_50_2d1_1d9
400.0,1340.71,0.0519519,0.0238537,0.22058,0.977013,0.780767,0.977013,0.826375,0.0499253,0.0144618,0.217257,1e-06,1e-07,detr_50_2d8_1d10
345.0,1160.85,0.0441858,0.0401656,0.197621,0.978668,0.778377,0.978668,0.896,0.0517365,0.0227142,0.219618,1e-05,1e-06,detr_50_2d9_1d000
370.0,1327.78,0.0403883,0.0588012,0.173959,0.99615,0.778023,0.99615,0.8915,0.0476403,0.0377262,0.215057,1e-05,1e-06,detr_50_2d000_1d2
398.0,1420.69,0.0457529,0.0251034,0.194623,0.973062,0.777212,0.973062,0.849625,0.049931,0.0139023,0.207195,1e-05,1e-06,detr_50_2d000_1d3
344.0,1157.25,0.0471647,0.0223664,0.208045,1.0,0.775212,1.0,0.85275,0.0536488,0.0185724,0.224352,1e-05,1e-06,detr_50_2d4_1d2
400.0,1391.98,0.0494821,0.0375374,0.195548,0.951761,0.773536,0.951761,0.884375,0.0500243,0.0126218,0.214216,1e-06,1e-07,detr_50_2d3_1d6
400.0,1393.35,0.0528402,0.0427185,0.209332,0.965347,0.772109,0.965347,0.866125,0.0488606,0.0226563,0.205627,1e-06,1e-07,detr_50_2d3_1d5
400.0,1349.18,0.050188,0.0277672,0.199189,0.950492,0.770809,0.950492,0.86675,0.048842,0.0178945,0.197638,1e-06,1e-07,detr_50_2d7_1d4
394.0,1414.23,0.0473693,0.0495153,0.209245,0.961474,0.769388,0.961474,0.886375,0.0460227,0.0314773,0.196708,1e-05,1e-06,detr_50_2d000_1d1
377.0,1305.66,0.0407722,0.0184053,0.179099,0.955615,0.767658,0.955615,0.85875,0.0510043,0.0120165,0.204315,1e-05,1e-06,detr_50_2d3_1d1
399.0,1431.41,0.0416358,0.0462692,0.182047,0.965701,0.759743,0.965701,0.880375,0.0508798,0.0295824,0.218403,1e-05,1e-06,detr_50_2d8_1d2
366.0,1229.78,0.0402935,0.055536,0.175945,0.958448,0.744957,0.958448,0.900875,0.0493063,0.0351865,0.205251,1e-05,1e-06,detr_50_2d10_1d4
313.0,1085.58,0.050616,0.0353875,0.21299,0.91091,0.743417,0.91091,0.89775,0.0477844,0.0183242,0.202979,1e-05,1e-06,detr_50_2d3_1d2
351.0,1243.52,0.0396318,0.0169222,0.179495,0.932673,0.740581,0.932673,0.841125,0.0536064,0.010416,0.217415,1e-05,1e-06,detr_50_2d1_1d10
400.0,1341.26,0.0452668,0.0326257,0.186935,0.954068,0.738114,0.954068,0.830625,0.0519265,0.0155984,0.225153,1e-06,1e-07,detr_50_2d10_1d8
395.0,1324.75,0.0385263,0.046547,0.163051,0.931827,0.735351,0.931827,0.869,0.053731,0.023942,0.22097,1e-05,1e-06,detr_50_2d4_1d000
395.0,1382.65,0.049082,0.0368522,0.209714,0.92482,0.732875,0.92482,0.894875,0.0492406,0.0198866,0.202451,1e-05,1e-06,detr_50_2d3_1d7
395.0,1407.94,0.0417705,0.0234619,0.177668,0.919438,0.73214,0.919438,0.89375,0.0489269,0.0124793,0.208768,1e-05,1e-06,detr_50_2d2_1d2
392.0,1314.96,0.0456832,0.0225325,0.193906,0.912287,0.723368,0.912287,0.855125,0.0468927,0.0145746,0.204411,1e-05,1e-06,detr_50_2d8_1d8
394.0,1397.55,0.0441328,0.0302875,0.181324,0.906524,0.722339,0.906524,0.832875,0.0520633,0.0146894,0.219775,1e-05,1e-06,detr_50_2d000_1d9
398.0,1338.02,0.0465701,0.0586248,0.187983,0.91273,0.720215,0.91273,0.906875,0.0483487,0.0372718,0.205115,1e-05,1e-06,detr_50_2d7_1d3
384.0,1294.99,0.0422213,0.0531609,0.164866,0.881777,0.71997,0.881777,0.89925,0.0478613,0.0417416,0.198007,1e-05,1e-06,detr_50_2d6_1d10
